# uTCA QIE11
# RM 1
# dummy  cr  sl  tb  dcc  spigot  fiber/slb  fibcha/slbcha  subdet  ieta  iphi  depth
4200000  41   6   u   0      0         7           2          HE     23     3     2
4200000  41   6   u   0      0         8           0          HE     25     3     1
4200000  41   6   u   0      0         8           1          HE     25     3     2
#4200000  41   6   u   0      0         8           2          HE         
4200000  41   6   u   0      0         9           0          HE     25     3     3
4200000  41   6   u   0      0         9           1          HE     21     3     2
4200000  41   6   u   0      0         9           2          HE     21     3     1
4200000  41   6   u   0      0        10           0          HE     18     3     2
4200000  41   6   u   0      0        10           1          HE     19     3     1
4200000  41   6   u   0      0        10           2          HE     20     3     2
4200000  41   6   u   0      0        11           0          HE     18     3     1
4200000  41   6   u   0      0        11           1          HE     19     3     2
4200000  41   6   u   0      0        11           2          HE     20     3     1
4200000  41   6   u   0      0         0           0          HE     16     4     3
#4200000  41   6   u   0      0         0           1          HE         
4200000  41   6   u   0      0         0           2          HE     22     4     1
4200000  41   6   u   0      0         1           0          HE     17     4     1
4200000  41   6   u   0      0         1           1          HE     17     4     2
4200000  41   6   u   0      0         1           2          HE     22     4     2
4200000  41   6   u   0      0         2           0          HE     24     4     1
4200000  41   6   u   0      0         2           1          HE     24     4     2
#4200000  41   6   u   0      0         2           2          HE         
4200000  41   6   u   0      0         3           0          HE     24     4     3
4200000  41   6   u   0      0         3           1          HE     21     4     2
4200000  41   6   u   0      0         3           2          HE     21     4     1
4200000  41   6   u   0      0         4           0          HE     18     4     2
4200000  41   6   u   0      0         4           1          HE     19     4     1
4200000  41   6   u   0      0         4           2          HE     20     4     2
4200000  41   6   u   0      0         5           0          HE     18     4     1
4200000  41   6   u   0      0         5           1          HE     19     4     2
4200000  41   6   u   0      0         5           2          HE     20     4     1


# Alexi's tiles
# dummy  cr  sl  tb  dcc  spigot  fiber/slb  fibcha/slbcha  subdet  ieta  iphi  depth
4700000  41  10   u   0      0         4           2          HF     28     8     1
4700000  41  10   u   0      0         4           3          HF     28     8     2 
4700000  41  10   u   0      0         5           0          HF     28     8     3 

