#i cr sl tb dcc spigot  fiber fibcha  subdet  ieta  iphi  depth
420075C 45  1 u 0 0 9 1 HB 19 5 1
420075C 45  1 u 0 0 9 2 HB 17 5 4
420075C 45  1 u 0 0 9 3 HB 17 5 5
420075C 45  1 u 0 0 9 4 HB 19 5 4
420075C 45  1 u 0 0 9 5 HB 19 5 2

#RM 2
420075C 45  1 u 0 0 14 0 HB 17 11 4
420075C 45  1 u 0 0 14 1 HB 18 6 1
420075C 45  1 u 0 0 14 2 HB 17 6 4
420075C 45  1 u 0 0 14 3 HB 17 6 5
420075C 45  1 u 0 0 14 4 HB 18 11 1
420075C 45  1 u 0 0 14 5 HB 18 6 6

420075C 45  1 u 0 0 15 0 HB 22 5 4
420075C 45  1 u 0 0 15 1 HB 19 6 2
420075C 45  1 u 0 0 15 2 HB 19 6 4
420075C 45  1 u 0 0 15 3 HB 16 6 3
420075C 45  1 u 0 0 15 4 HB 18 6 4
420075C 45  1 u 0 0 15 5 HB 18 11 2

420075C 45  1 u 0 0 16 0 HB 18 6 5
420075C 45  1 u 0 0 16 1 HB 21 6 4
420075C 45  1 u 0 0 16 2 HB 20 6 6
420075C 45  1 u 0 0 16 3 HB 20 6 5
420075C 45  1 u 0 0 16 4 HB 20 6 4
420075C 45  1 u 0 0 16 5 HB 22 5 6

420075C 45  1 u 0 0 17 0 HB 19 6 1
420075C 45  1 u 0 0 17 1 HB 21 6 5
420075C 45  1 u 0 0 17 2 HB 21 6 6
420075C 45  1 u 0 0 17 3 HB 17 6 3
420075C 45  1 u 0 0 17 4 HB 19 6 5
420075C 45  1 u 0 0 17 5 HB 19 6 6

420075C 45  1 u 0 0 18 0 HB 24 5 4
420075C 45  1 u 0 0 18 1 HB 22 5 5
420075C 45  1 u 0 0 18 2 HB 18 11 3
420075C 45  1 u 0 0 18 3 HB 18 6 3
420075C 45  1 u 0 0 18 4 HB 22 5 3
420075C 45  1 u 0 0 18 5 HB 20 6 3

420075C 45  1 u 0 0 19 0 HB 21 6 3
420075C 45  1 u 0 0 19 1 HB 24 5 3
420075C 45  1 u 0 0 19 2 HB 24 5 7
420075C 45  1 u 0 0 19 3 HB 19 6 3
420075C 45  1 u 0 0 19 4 HB 24 5 5
420075C 45  1 u 0 0 19 5 HB 24 5 6

