#Phase-2 Materials Map           
#i cr sl tb dcc spigot fiber fibcha subdet ieta iphi depth  
928 63 2 u 0 0 7 0 HE 0 21 0
928 63 2 u 0 0 7 1 HE 0 21 1
928 63 2 u 0 0 7 2 HE 0 21 2
928 63 2 u 0 0 7 3 HE 0 21 3
928 63 2 u 0 0 7 4 HE 0 21 4
928 63 2 u 0 0 7 5 HE 0 21 5
928 63 2 u 0 0 8 0 HE 0 22 0
928 63 2 u 0 0 8 1 HE 0 22 1
928 63 2 u 0 0 8 2 HE 0 22 2
928 63 2 u 0 0 8 3 HE 0 22 3
928 63 2 u 0 0 8 4 HE 0 22 4
928 63 2 u 0 0 8 5 HE 0 22 5
928 63 2 u 0 0 9 0 HE 0 23 0
928 63 2 u 0 0 9 1 HE 0 23 1
928 63 2 u 0 0 9 2 HE 0 23 2
928 63 2 u 0 0 9 3 HE 0 23 3
928 63 2 u 0 0 9 4 HE 0 23 4
928 63 2 u 0 0 9 5 HE 0 23 5
928 63 2 u 0 0 14 0 HE 0 24 0
928 63 2 u 0 0 14 1 HE 0 24 1
928 63 2 u 0 0 14 2 HE 0 24 2
928 63 2 u 0 0 14 3 HE 0 24 3
928 63 2 u 0 0 14 4 HE 0 24 4
928 63 2 u 0 0 14 5 HE 0 24 5
928 63 2 u 0 0 15 0 HE 0 25 0
928 63 2 u 0 0 15 1 HE 0 25 1
928 63 2 u 0 0 15 2 HE 0 25 2
928 63 2 u 0 0 15 3 HE 0 25 3
928 63 2 u 0 0 15 4 HE 0 25 4
928 63 2 u 0 0 15 5 HE 0 25 5
928 63 2 u 0 0 16 0 HE 0 26 0
928 63 2 u 0 0 16 1 HE 0 26 1
928 63 2 u 0 0 16 2 HE 0 26 2
928 63 2 u 0 0 16 3 HE 0 26 3
928 63 2 u 0 0 16 4 HE 0 26 4
928 63 2 u 0 0 16 5 HE 0 26 5
928 63 2 u 0 0 17 0 HE 0 27 0
928 63 2 u 0 0 17 1 HE 0 27 1
928 63 2 u 0 0 17 2 HE 0 27 2
928 63 2 u 0 0 17 3 HE 0 27 3
928 63 2 u 0 0 17 4 HE 0 27 4
928 63 2 u 0 0 17 5 HE 0 27 5
928 63 2 u 0 0 18 0 HE 0 28 0
928 63 2 u 0 0 18 1 HE 0 28 1
928 63 2 u 0 0 18 2 HE 0 28 2
928 63 2 u 0 0 18 3 HE 0 28 3
928 63 2 u 0 0 18 4 HE 0 28 4
928 63 2 u 0 0 18 5 HE 0 28 5
928 63 2 u 0 0 19 0 HE 0 29 0
928 63 2 u 0 0 19 1 HE 0 29 1
928 63 2 u 0 0 19 2 HE 0 29 2
928 63 2 u 0 0 19 3 HE 0 29 3
928 63 2 u 0 0 19 4 HE 0 29 4
928 63 2 u 0 0 19 5 HE 0 29 5
928 63 2 u 0 0 20 0 HE 0 30 0
928 63 2 u 0 0 20 1 HE 0 30 1
928 63 2 u 0 0 20 2 HE 0 30 2
928 63 2 u 0 0 20 3 HE 0 30 3
928 63 2 u 0 0 20 4 HE 0 30 4
928 63 2 u 0 0 20 5 HE 0 30 5
928 63 2 u 0 0 21 0 HE 0 31 0
928 63 2 u 0 0 21 1 HE 0 31 1
928 63 2 u 0 0 21 2 HE 0 31 2
928 63 2 u 0 0 21 3 HE 0 31 3
928 63 2 u 0 0 21 4 HE 0 31 4
928 63 2 u 0 0 21 5 HE 0 31 5
1196 63 8 u 0 0 0 0 HE 0 32 0
1196 63 8 u 0 0 0 1 HE 0 32 1
1196 63 8 u 0 0 0 2 HE 0 32 2
1196 63 8 u 0 0 0 3 HE 0 32 3
1196 63 8 u 0 0 0 4 HE 0 32 4
1196 63 8 u 0 0 0 5 HE 0 32 5
1196 63 8 u 0 0 1 0 HE 0 33 0
1196 63 8 u 0 0 1 1 HE 0 33 1
1196 63 8 u 0 0 1 2 HE 0 33 2
1196 63 8 u 0 0 1 3 HE 0 33 3
1196 63 8 u 0 0 1 4 HE 0 33 4
1196 63 8 u 0 0 1 5 HE 0 33 5
#Phase-2 Materials Map 
#i cr sl tb dcc spigot fiber fibcha subdet ieta iphi depth 
1192 61 1 u 0 0 0 0 HE 1 0 0 
1192 61 1 u 0 0 0 1 HE 1 0 1 
1192 61 1 u 0 0 0 2 HE 1 0 2 
1192 61 1 u 0 0 0 3 HE 1 0 3 
1192 61 1 u 0 0 0 4 HE 1 0 4 
1192 61 1 u 0 0 0 5 HE 1 0 5 
1192 61 1 u 0 0 1 0 HE 1 1 0 
1192 61 1 u 0 0 1 1 HE 1 1 1 
1192 61 1 u 0 0 1 2 HE 1 1 2 
1192 61 1 u 0 0 1 3 HE 1 1 3 
1192 61 1 u 0 0 1 4 HE 1 1 4 
1192 61 1 u 0 0 1 5 HE 1 1 5 
1192 61 1 u 0 0 2 0 HE 1 2 0 
1192 61 1 u 0 0 2 1 HE 1 2 1 
1192 61 1 u 0 0 2 2 HE 1 2 2 
1192 61 1 u 0 0 2 3 HE 1 2 3 
1192 61 1 u 0 0 2 4 HE 1 2 4 
1192 61 1 u 0 0 2 5 HE 1 2 5 
1192 61 1 u 0 0 3 0 HE 1 3 0 
1192 61 1 u 0 0 3 1 HE 1 3 1 
1192 61 1 u 0 0 3 2 HE 1 3 2 
1192 61 1 u 0 0 3 3 HE 1 3 3 
1192 61 1 u 0 0 3 4 HE 1 3 4 
1192 61 1 u 0 0 3 5 HE 1 3 5 
1192 61 1 u 0 0 4 0 HE 1 4 0 
